Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.1669E-19,0.0006188,0.01308,0,0,0,0.38246,0.00043672,-5.14E-21,6.9161E-21,0.00045103,7.29E-07,0.00083789,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/base_link.STL,,底座70-2,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,4.2686E-10,-8.9895E-05,0.0063042,0,0,0,1.0794,0.0020879,-1.4826E-10,3.8162E-10,0.0016041,-6.1066E-07,0.0019142,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link1.STL,,S轴50-1,坐标系2,rotz1,joint1,revolute,0,0,0.09,1.5708,0,3.1416,base_link,0,1,0,100,3,-3.14,3.14,,,,,,,,
Link2,0.20999,-6.7298E-12,0.11992,0,0,0,2.5593,0.0045543,9.5236E-10,5.851E-07,0.097115,7.8875E-13,0.096147,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link2.STL,,S轴50-2;S轴50-4;下臂45-1,坐标系3,rotz2,joint2,revolute,-0.42,0,0,0,0,0,Link1,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link3,0.14169,9.2965E-08,0.0025574,0,0,0,1.171,0.0016099,-1.5523E-08,-0.00077623,0.030623,2.78E-08,0.03039,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link3.STL,,弯头45-1;上臂40-1;R-B-T轴-1,坐标系4,rotz3,joint3,revolute,-0.4,0,0,0,0,0,Link2,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link4,1.2298E-09,-0.0056137,0.00011006,0,0,0,0.58201,0.0007618,1.4963E-11,4.4791E-11,0.00068944,-3.5959E-07,0.00056434,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link4.STL,,R-B-T轴-3,坐标系5,rotz4,joint4,revolute,0,0,0.1,1.5708,0,0,Link3,0,-1,0,100,3,-3.14,3.14,,,,,,,,
Link5,1.7409E-07,0.0040239,-0.10572,0,0,0,0.81197,0.024896,-2.8768E-09,-1.0498E-08,0.024963,-0.00034542,0.0007983,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link5.STL,,T轴-1,坐标系6,rotz5,joint5,revolute,0,0,0.1,-1.5708,0,0,Link4,0,-1,0,100,3,-3.14,3.14,,,,,,,,
Link6,-2.2204E-16,4.3368E-17,-0.015,0,0,0,0.12931,6.9588E-05,1.8267E-20,-2.397E-20,5.8731E-05,3.5387E-20,0.00010892,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link6.STL,,滑块40-1,坐标系7,rotz6,joint6p,prismatic,0,0,-0.42,0,0,0,Link5,0,0,1,100,3,0,0.5,,,,,,,,
Link7,3.1885E-09,-0.29766,2.9817E-08,0,0,0,0.18362,0.0052429,-1.4282E-10,2.891E-13,9.233E-06,-1.3378E-09,0.0052429,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link7.STL,,长杆0-1,坐标系8,rotz7,joint7,revolute,0,0,0.56,1.5708,0,0,Link6,0,1,0,100,3,-3.14,3.14,,,,,,,,
Link8,-0.043248,-4.6718E-09,3.9744E-08,0,0,0,0.023875,1.1971E-06,4.4295E-12,-3.8291E-11,1.4588E-05,8.1423E-14,1.4442E-05,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link8.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link8.STL,,长杆1-1,坐标系9,rotz8,joint8,revolute,0.08,0,0,-1.5708,0,0,Link7,0,1,0,100,3,-3.14,3.14,,,,,,,,
Link9,-0.062716,3.9899E-17,-5.5511E-17,0,0,0,0.030846,1.4516E-06,2.511E-20,-1.8222E-19,2.7003E-05,-2.5042E-23,2.7063E-05,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link9.STL,1,1,1,1,0,0,0,0,0,0,package://dof9-2.SLDASM/meshes/Link9.STL,,长杆2-1,坐标系10,rotz9,joint9,revolute,0.11,0,0,0,0,0,Link8,0,0,1,100,3,-3.14,3.14,,,,,,,,
