Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.17E-19,0.000618795,0.013080285,0,0,0,0.382463662,0.000436715,-5.14E-21,6.92E-21,0.000451032,7.29E-07,0.000837894,0,0,0,0,0,0,package://dofnine/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/base_link.STL,,底座70-2,坐标�?,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,4.27E-10,-8.99E-05,0.0063042,0,0,0,1.0794,0.0020879,-1.48E-10,3.82E-10,0.0016041,-6.11E-07,0.0019142,0,0,0,0,0,0,package://dofnine/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/Link1.STL,,S�?0-1,坐标�?,rotz1,joint1,revolute,0,0,0.09,1.5708,0,3.1416,base_link,0,1,0,100,3,-3.14,3.14,,,,,,,,
Link2,0.209994628,-6.73E-12,0.119922541,0,0,0,2.559280665,0.004554299,9.52E-10,5.85E-07,0.097114703,7.89E-13,0.096147431,0,0,0,0,0,0,package://dofnine/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/Link2.STL,,S�?0-2;S�?0-4;下臂45-1,坐标�?,rotz2,joint2,revolute,-0.42,0,0,0,0,0,Link1,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link3,0.1417,9.29E-08,0.002554,0,0,0,1.1711,0.0016101,-1.55E-08,-0.00077549,0.030627,2.78E-08,0.030394,0,0,0,0,0,0,package://dofnine/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/Link3.STL,,弯头45-1;上臂40-1;R-B-T�?1,坐标�?,rotz3,joint3,revolute,-0.4,0,0,0,0,0,Link2,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link4,1.23E-09,-0.005613708,0.00011006,0,0,0,0.582005099,0.000761797,1.50E-11,4.48E-11,0.000689443,-3.60E-07,0.000564338,0,0,0,0,0,0,package://dofnine/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/Link4.STL,,R-B-T�?3,坐标�?,rotz4,joint4,revolute,0,0,0.1,1.570796327,0,0,Link3,0,-1,0,100,3,-3.14,3.14,,,,,,,,
Link5,-1.10E-09,0.0060608,-0.00087677,0,0,0,0.53907,0.00070005,2.81E-11,-3.75E-11,0.00062916,-2.86E-06,0.00054563,0,0,0,0,0,0,package://dofnine/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/Link5.STL,,T�?1,坐标�?,rotz5,joint5,revolute,0,0,0.1,-1.570796327,0,0,Link4,0,-1,0,100,3,-3.14,3.14,,,,,,,,
Link6,-3.33E-16,-5.60E-16,-0.025,0,0,0,0.0032987,8.69E-07,-2.48E-23,5.14E-22,8.69E-07,6.94E-24,3.65E-07,0,0,0,0,0,0,package://dofnine/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/Link6.STL,,套筒-1,坐标�?,rotz6,joint6,revolute,0,0,0.1,0,0,0,Link5,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link7,3.19E-09,-0.297660361,2.98E-08,0,0,0,0.183617294,0.005242942,-1.43E-10,2.89E-13,9.23E-06,-1.34E-09,0.005242856,0,0,0,0,0,0,package://dofnine/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/Link7.STL,,长杆0-1,坐标�?,rotz6,joint7,prismatic,0,0,0.24,1.5708,0,0,Link6,0,1,0,100,3,0,0.5,,,,,,,,
Link8,-0.043248491,-4.67E-09,3.97E-08,0,0,0,0.023874744,1.20E-06,4.43E-12,-3.83E-11,1.46E-05,8.14E-14,1.44E-05,0,0,0,0,0,0,package://dofnine/meshes/Link8.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/Link8.STL,,长杆1-1,坐标�?,rotz8,joint8,revolute,0.08,0,0,-1.570796327,0,0,Link7,0,1,0,100,3,-3.14,3.14,,,,,,,,
Link9,-0.059036593,2.78E-17,0,0,0,0,0.033077824,1.63E-06,2.15E-20,-1.78E-19,3.33E-05,-5.76E-21,3.34E-05,0,0,0,0,0,0,package://dofnine/meshes/Link9.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine/meshes/Link9.STL,,长杆2-1,坐标�?,rotz9,joint9,revolute,0.11,0,0,0,0,0,Link8,0,0,1,100,3,-3.14,3.14,,,,,,,,
